图片: 454
候选框数量: 100
LARGE_OBJECT_THRESHOLD=0.45, OBJECT_CLIP_PENALTY_WEIGHT=0.5, OBJECT_CLIP_FULL_PENALTY_AT=0.4, PENALTY_WEIGHT_IN_FINAL=0.5

按 final_score 排序:
  1. final=0.750 aes_norm=1.000 aes_raw=4.336 pen=0.500 rule=0.028 L=N i=  2 box=(95,89,382,473) area_ratio=0.359
  2. final=0.717 aes_norm=0.967 aes_raw=4.290 pen=0.500 rule=0.340 L=N i=  2 box=(95,127,382,511) area_ratio=0.359
  3. final=0.618 aes_norm=0.868 aes_raw=4.149 pen=0.500 rule=0.602 L=N i=  2 box=(78,220,365,604) area_ratio=0.359
  4. final=0.611 aes_norm=0.861 aes_raw=4.139 pen=0.500 rule=0.071 L=N i=  2 box=(52,127,339,511) area_ratio=0.359
  5. final=0.594 aes_norm=0.844 aes_raw=4.115 pen=0.500 rule=0.401 L=N i=  2 box=(78,144,365,528) area_ratio=0.359
  6. final=0.566 aes_norm=0.816 aes_raw=4.075 pen=0.500 rule=0.535 L=N i=  2 box=(94,237,381,621) area_ratio=0.359
  7. final=0.556 aes_norm=0.806 aes_raw=4.061 pen=0.500 rule=0.389 L=N i=  2 box=(50,199,337,583) area_ratio=0.359
  8. final=0.526 aes_norm=0.776 aes_raw=4.018 pen=0.500 rule=0.138 L=N i=  2 box=(35,182,322,566) area_ratio=0.359
  9. final=0.512 aes_norm=0.762 aes_raw=3.998 pen=0.500 rule=0.833 L=N i=  2 box=(94,199,381,583) area_ratio=0.359
 10. final=0.501 aes_norm=0.751 aes_raw=3.983 pen=0.500 rule=0.645 L=N i=  2 box=(78,182,365,566) area_ratio=0.359
 11. final=0.499 aes_norm=0.749 aes_raw=3.981 pen=0.500 rule=0.638 L=N i=  2 box=(95,165,382,549) area_ratio=0.359
 12. final=0.473 aes_norm=0.723 aes_raw=3.943 pen=0.500 rule=0.319 L=N i=  2 box=(137,199,424,583) area_ratio=0.359
 13. final=0.460 aes_norm=0.710 aes_raw=3.924 pen=0.500 rule=0.612 L=N i=  2 box=(94,161,381,545) area_ratio=0.359
 14. final=0.430 aes_norm=0.680 aes_raw=3.883 pen=0.500 rule=0.073 L=N i=  2 box=(103,192,342,512) area_ratio=0.249
 15. final=0.424 aes_norm=0.674 aes_raw=3.874 pen=0.500 rule=0.001 L=N i=  2 box=(101,150,340,470) area_ratio=0.249
 16. final=0.416 aes_norm=0.666 aes_raw=3.863 pen=0.500 rule=0.490 L=N i=  2 box=(121,182,408,566) area_ratio=0.359
 17. final=0.409 aes_norm=0.659 aes_raw=3.853 pen=0.500 rule=0.044 L=N i=  2 box=(102,214,341,534) area_ratio=0.249
 18. final=0.369 aes_norm=0.369 aes_raw=3.442 pen=0.000 rule=0.182 L=N i= -1 box=(0,43,95,171) area_ratio=0.040
 19. final=0.357 aes_norm=0.607 aes_raw=3.779 pen=0.500 rule=0.000 L=N i=  2 box=(142,279,237,407) area_ratio=0.040
 20. final=0.353 aes_norm=0.603 aes_raw=3.773 pen=0.500 rule=0.011 L=N i=  2 box=(119,159,358,479) area_ratio=0.249
 21. final=0.325 aes_norm=0.325 aes_raw=3.380 pen=0.000 rule=0.246 L=N i= -1 box=(27,7,146,167) area_ratio=0.062
 22. final=0.323 aes_norm=0.573 aes_raw=3.731 pen=0.500 rule=0.058 L=N i=  2 box=(102,182,341,502) area_ratio=0.249
 23. final=0.319 aes_norm=0.319 aes_raw=3.372 pen=0.000 rule=0.171 L=N i= -1 box=(0,0,95,128) area_ratio=0.040
 24. final=0.314 aes_norm=0.564 aes_raw=3.718 pen=0.500 rule=0.007 L=N i=  2 box=(118,263,357,583) area_ratio=0.249
 25. final=0.308 aes_norm=0.558 aes_raw=3.710 pen=0.500 rule=0.000 L=N i=  2 box=(176,375,271,503) area_ratio=0.040
 26. final=0.304 aes_norm=0.554 aes_raw=3.704 pen=0.500 rule=0.000 L=N i=  2 box=(172,283,267,411) area_ratio=0.040
