图片: B20
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=132.5, center_y=350.0, width=265.0, height=354.0)
  角点表示: (x1=0.0, y1=173.0, x2=265.0, y2=527.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.729  0.831  0.842  0.868  0.876  0.592  0.028  0.0  0.953  N    1  0.358  (0,173,265,527)
   2  0.721  0.740  0.836  0.910  0.858  0.555  0.018  0.0  0.955  N    2  0.358  (0,157,265,511)
   3  0.720  0.911  0.836  0.886  0.872  0.674  0.058  0.0  0.948  N    1  0.358  (0,192,265,546)
   4  0.707  0.863  0.837  0.933  0.799  0.663  0.058  0.0  0.952  N    1  0.358  (10,192,275,546)
   5  0.667  0.790  0.776  0.938  0.830  0.541  0.101  0.0  0.888  N    2  0.358  (0,137,265,491)
   6  0.665  1.000  0.782  0.935  0.829  0.923  0.102  0.0  0.930  N    1  0.358  (0,227,265,581)
   7  0.648  0.730  0.776  0.966  0.781  0.534  0.101  0.0  0.891  N    2  0.358  (7,137,272,491)
   8  0.611  0.627  0.889  0.865  0.857  0.560  0.108  0.0  0.929  N    1  0.249  (21,209,242,504)
   9  0.589  0.587  0.887  0.894  0.825  0.568  0.120  0.0  0.949  N    1  0.249  (26,222,247,517)
  10  0.576  0.638  0.898  0.674  0.985  0.599  0.108  0.0  0.936  N    1  0.249  (0,219,221,514)
  11  0.575  0.638  0.890  0.673  0.985  0.604  0.107  0.0  0.940  N    1  0.249  (0,222,221,517)
  12  0.566  0.652  0.869  0.695  0.978  0.591  0.128  0.0  0.848  N    2  0.249  (0,196,221,491)
  13  0.554  0.890  0.803  0.737  0.967  0.718  0.210  0.0  0.821  N    1  0.249  (0,251,221,546)
  14  0.545  0.769  0.754  0.973  0.758  0.550  0.237  0.0  0.864  N    2  0.358  (0,102,265,456)
  15  0.539  0.653  0.828  0.940  0.799  0.648  0.189  0.0  0.856  N    1  0.249  (28,245,249,540)
  16  0.525  0.655  0.866  0.703  0.976  0.594  0.183  0.0  0.854  N    2  0.249  (0,192,221,487)
  17  0.522  0.713  0.825  0.715  0.973  0.684  0.183  0.0  0.845  N    1  0.249  (0,245,221,540)
  18  0.512  0.596  0.850  0.939  0.813  0.575  0.226  0.0  0.847  N    2  0.249  (22,167,243,462)
  19  0.508  0.498  0.017  0.545  1.000  0.019  0.000  0.0  0.475  N   -1  0.160  (182,151,359,387)
  20  0.501  0.474  0.021  0.545  1.000  0.022  0.000  0.0  0.474  N   -1  0.160  (179,211,356,447)
  21  0.495  0.607  0.860  0.759  0.956  0.608  0.213  0.0  0.858  N    2  0.249  (0,167,221,462)
  22  0.483  0.419  0.019  0.545  1.000  0.021  0.000  0.0  0.480  N   -1  0.160  (181,186,358,422)
